objectid,original_spreadsheet,filename,title,creator,description,date,date is approximate,subjects,latitude,longitude,Source,Donor,Identifier,Rights,Standardized Rights,Format Original,youtubeid,Type,Format,object_template,object_download,image_small,image_thumb
twrs011,artifacts,DSC_0128.JPG,Dave Lewis with his horse,,"The big silvertip (grizzly) bear who has been killing much stock in the Salmon River neighborhood for several year was killed by Dave Lewis near Slate Creek. The hide measured nine feet in length and the bear weighed close to 1,000 pounds. ",1909,,Dave Lewis,,,,,DSC_0128,,,,,Image;StillImage,image/jpg,image,https://webpages.uidaho.edu/library/twrs/objects/DSC_0128.JPG,https://webpages.uidaho.edu/library/twrs/objects/small/dsc_0128_sm.jpg,https://webpages.uidaho.edu/library/twrs/objects/thumbs/dsc_0128_th.jpg
twrs012,artifacts,DSC_0129.JPG,Unsurveyed map of Taylor Ranch,,Unsurveyed map of Taylor Ranch,1923,,Taylor Ranch,45.103059,-114.850558,,,DSC_0129,,,,,Image;StillImage,image/jpg,image,https://webpages.uidaho.edu/library/twrs/objects/DSC_0129.JPG,https://webpages.uidaho.edu/library/twrs/objects/small/dsc_0129_sm.jpg,https://webpages.uidaho.edu/library/twrs/objects/thumbs/dsc_0129_th.jpg
twrs013,artifacts,DSC_0130.JPG,Jess Taylor on a hunting trip,,Jess Taylor on a hunting trip,,,Jess Taylor;,,,,,DSC_0130,,,,,Image;StillImage,image/jpg,image,https://webpages.uidaho.edu/library/twrs/objects/DSC_0130.JPG,https://webpages.uidaho.edu/library/twrs/objects/small/dsc_0130_sm.jpg,https://webpages.uidaho.edu/library/twrs/objects/thumbs/dsc_0130_th.jpg
twrs014,artifacts,DSC_0131.JPG,Jess Taylor and Arlow Lewis ,,Jess Taylor plowing a field with Arlow Lewis. ,,,Jess Taylor; Arlow Lewis,,,,,DSC_0131,,,,,Image;StillImage,image/jpg,image,https://webpages.uidaho.edu/library/twrs/objects/DSC_0131.JPG,https://webpages.uidaho.edu/library/twrs/objects/small/dsc_0131_sm.jpg,https://webpages.uidaho.edu/library/twrs/objects/thumbs/dsc_0131_th.jpg
twrs015,artifacts,DSC_0132.JPG,Description of Jess Taylor,,Description of Jess Taylor,,,Jess Taylor,45.102402,-114.850242,,,DSC_0132,,,,,Image;StillImage,image/jpg,image,https://webpages.uidaho.edu/library/twrs/objects/DSC_0132.JPG,https://webpages.uidaho.edu/library/twrs/objects/small/dsc_0132_sm.jpg,https://webpages.uidaho.edu/library/twrs/objects/thumbs/dsc_0132_th.jpg
twrs016,artifacts,DSC_0133.JPG,Jess Taylor sitting in his rocking chair ,,Jess Taylor sitting in his rocking chair at the Taylor Ranch. ,,,Jess Taylor; Rocking Chair,45.102346,-114.851441,,,DSC_0133,,,,,Image;StillImage,image/jpg,image,https://webpages.uidaho.edu/library/twrs/objects/DSC_0133.JPG,https://webpages.uidaho.edu/library/twrs/objects/small/dsc_0133_sm.jpg,https://webpages.uidaho.edu/library/twrs/objects/thumbs/dsc_0133_th.jpg
twrs017,artifacts,DSC_0135.JPG,Description of Jess & Dorothy Taylor,,Description of Jess & Dorothy Taylor,,,Jess Taylor; Dorothy Taylor,45.102402,-114.850242,,,DSC_0135,,,,,Image;StillImage,image/jpg,image,https://webpages.uidaho.edu/library/twrs/objects/DSC_0135.JPG,https://webpages.uidaho.edu/library/twrs/objects/small/dsc_0135_sm.jpg,https://webpages.uidaho.edu/library/twrs/objects/thumbs/dsc_0135_th.jpg
twrs018,artifacts,DSC_0136.JPG,Peeled Tree ,,A cross section of a peeled tree from the Payette National Forest. The inner bark was utilized as a food resource by Indigenous Tribe. ,,,Peeled Tree; Payette National Forest; Indigenous Tribe,,,,,DSC_0136,,,,,Image;StillImage,image/jpg,image,https://webpages.uidaho.edu/library/twrs/objects/DSC_0136.JPG,https://webpages.uidaho.edu/library/twrs/objects/small/dsc_0136_sm.jpg,https://webpages.uidaho.edu/library/twrs/objects/thumbs/dsc_0136_th.jpg
twrs019,artifacts,DSC_0137.JPG,Peeled Tree ,,A cross section of a peeled tree from the Payette National Forest. The inner bark was utilized as a food resource by Indigenous Tribe. ,,,Peeled Tree; Payette National Forest; Indigenous Tribe,,,,,DSC_0137,,,,,Image;StillImage,image/jpg,image,https://webpages.uidaho.edu/library/twrs/objects/DSC_0137.JPG,https://webpages.uidaho.edu/library/twrs/objects/small/dsc_0137_sm.jpg,https://webpages.uidaho.edu/library/twrs/objects/thumbs/dsc_0137_th.jpg
twrs020,artifacts,DSC_0138.JPG,Peeled Tree ,,A cross section of a peeled tree from the Payette National Forest. The inner bark was utilized as a food resource by Indigenous Tribe. ,,,Peeled Tree; Payette National Forest; Indigenous Tribe,,,,,DSC_0138,,,,,Image;StillImage,image/jpg,image,https://webpages.uidaho.edu/library/twrs/objects/DSC_0138.JPG,https://webpages.uidaho.edu/library/twrs/objects/small/dsc_0138_sm.jpg,https://webpages.uidaho.edu/library/twrs/objects/thumbs/dsc_0138_th.jpg
twrs021,artifacts,DSC_0139.JPG,Hunting Pack,,Jess Taylor's hunting pack,,,Jess Taylor,45.102402,-114.850242,,,DSC_0139,,,,,Image;StillImage,image/jpg,image,https://webpages.uidaho.edu/library/twrs/objects/DSC_0139.JPG,https://webpages.uidaho.edu/library/twrs/objects/small/dsc_0139_sm.jpg,https://webpages.uidaho.edu/library/twrs/objects/thumbs/dsc_0139_th.jpg
twrs022,artifacts,DSC_0140.JPG,Hunting Pack,,Jess Taylor's hunting pack,,,Jess Taylor,45.102402,-114.850242,,,DSC_0140,,,,,Image;StillImage,image/jpg,image,https://webpages.uidaho.edu/library/twrs/objects/DSC_0140.JPG,https://webpages.uidaho.edu/library/twrs/objects/small/dsc_0140_sm.jpg,https://webpages.uidaho.edu/library/twrs/objects/thumbs/dsc_0140_th.jpg
twrs023,artifacts,DSC_0141.JPG,Fly-Fishing Lure Case,,Jess Taylor's fly-fishing lure case,,,Jess Taylor,45.102402,-114.850242,,,DSC_0141,,,,,Image;StillImage,image/jpg,image,https://webpages.uidaho.edu/library/twrs/objects/DSC_0141.JPG,https://webpages.uidaho.edu/library/twrs/objects/small/dsc_0141_sm.jpg,https://webpages.uidaho.edu/library/twrs/objects/thumbs/dsc_0141_th.jpg
twrs024,artifacts,DSC_0142.JPG,Fly-Fishing Lure Case,,Jess Taylor's fly-fishing lure case,,,Jess Taylor,45.102402,-114.850242,,,DSC_0142,,,,,Image;StillImage,image/jpg,image,https://webpages.uidaho.edu/library/twrs/objects/DSC_0142.JPG,https://webpages.uidaho.edu/library/twrs/objects/small/dsc_0142_sm.jpg,https://webpages.uidaho.edu/library/twrs/objects/thumbs/dsc_0142_th.jpg
twrs025,artifacts,DSC_0144.JPG,Fishing Line Box,,Jess Taylor's gold standard fishing line box. ,,,Jess Taylor,45.102402,-114.850242,,,DSC_0144,,,,,Image;StillImage,image/jpg,image,https://webpages.uidaho.edu/library/twrs/objects/DSC_0144.JPG,https://webpages.uidaho.edu/library/twrs/objects/small/dsc_0144_sm.jpg,https://webpages.uidaho.edu/library/twrs/objects/thumbs/dsc_0144_th.jpg
twrs026,artifacts,DSC_0145.JPG,Fishing Line,,Jess Taylor's gold standard fishing line box. ,,,Jess Taylor,45.102402,-114.850242,,,DSC_0145,,,,,Image;StillImage,image/jpg,image,https://webpages.uidaho.edu/library/twrs/objects/DSC_0145.JPG,https://webpages.uidaho.edu/library/twrs/objects/small/dsc_0145_sm.jpg,https://webpages.uidaho.edu/library/twrs/objects/thumbs/dsc_0145_th.jpg
twrs027,artifacts,DSC_0146.JPG,Arlow Lewis,,Arlow Lewis,,,Arlow Lewis,45.102055,-114.850939,,,DSC_0146,,,,,Image;StillImage,image/jpg,image,https://webpages.uidaho.edu/library/twrs/objects/DSC_0146.JPG,https://webpages.uidaho.edu/library/twrs/objects/small/dsc_0146_sm.jpg,https://webpages.uidaho.edu/library/twrs/objects/thumbs/dsc_0146_th.jpg
twrs028,artifacts,DSC_0147.JPG,The Fish and Game Law,,"The Fish and Game Law taken from the Idaho Country Free Press located in Grangeville, ID. ",1894-05-11,,Idaho Fish and Game,45.102402,-114.850242,,,DSC_0147,,,,,Image;StillImage,image/jpg,image,https://webpages.uidaho.edu/library/twrs/objects/DSC_0147.JPG,https://webpages.uidaho.edu/library/twrs/objects/small/dsc_0147_sm.jpg,https://webpages.uidaho.edu/library/twrs/objects/thumbs/dsc_0147_th.jpg
twrs029,artifacts,DSC_0149.JPG,Utensil Box,,"This box for eating utensils, formerly a Remington Arms cartidge box, was reworked in the summer of 1927 while I (W.H. Bolles) was a ranger on the South Fork of the Salmon River district, using hinges and screws from an obsolete telephone. ",1927,,W.H. Bolles; Kitchenware,45.102402,-114.850242,,W.H. Bolles,DSC_0149,,,,,Image;StillImage,image/jpg,image,https://webpages.uidaho.edu/library/twrs/objects/DSC_0149.JPG,https://webpages.uidaho.edu/library/twrs/objects/small/dsc_0149_sm.jpg,https://webpages.uidaho.edu/library/twrs/objects/thumbs/dsc_0149_th.jpg
twrs030,artifacts,DSC_0150.JPG,Utensil Box,,"This box for eating utensils, formerly a Remington Arms cartidge box, was reworked in the summer of 1927 while I (W.H. Bolles) was a ranger on the South Fork of the Salmon River district, using hinges and screws from an obsolete telephone. ",1927,,W.H. Bolles; Kitchenware,45.102402,-114.850242,,W.H. Bolles,DSC_0160,,,,,Image;StillImage,image/jpg,image,https://webpages.uidaho.edu/library/twrs/objects/DSC_0150.JPG,https://webpages.uidaho.edu/library/twrs/objects/small/dsc_0150_sm.jpg,https://webpages.uidaho.edu/library/twrs/objects/thumbs/dsc_0150_th.jpg
twrs031,artifacts,DSC_0151.JPG,Utensil Box,,"This box for eating utensils, formerly a Remington Arms cartidge box, was reworked in the summer of 1927 while I (W.H. Bolles) was a ranger on the South Fork of the Salmon River district, using hinges and screws from an obsolete telephone. ",1927,,W.H. Bolles; Kitchenware,45.102402,-114.850242,,W.H. Bolles,DSC_0161,,,,,Image;StillImage,image/jpg,image,https://webpages.uidaho.edu/library/twrs/objects/DSC_0151.JPG,https://webpages.uidaho.edu/library/twrs/objects/small/dsc_0151_sm.jpg,https://webpages.uidaho.edu/library/twrs/objects/thumbs/dsc_0151_th.jpg
twrs032,artifacts,DSC_0152.JPG,Epsom Salt Box,,This is a tin epsom salt box full of matches that belonged to W.H. Bolles. ,,,W.H. Bolles; Kitchenware,45.102402,-114.850242,,,DSC_0162,,,,,Image;StillImage,image/jpg,image,https://webpages.uidaho.edu/library/twrs/objects/DSC_0152.JPG,https://webpages.uidaho.edu/library/twrs/objects/small/dsc_0152_sm.jpg,https://webpages.uidaho.edu/library/twrs/objects/thumbs/dsc_0152_th.jpg
twrs033,artifacts,DSC_0153.JPG,Epsom Salt Box,,This is a tin epsom salt box full of matches that belonged to W.H. Bolles. ,,,W.H. Bolles; Kitchenware,45.102402,-114.850242,,,DSC_0163,,,,,Image;StillImage,image/jpg,image,https://webpages.uidaho.edu/library/twrs/objects/DSC_0153.JPG,https://webpages.uidaho.edu/library/twrs/objects/small/dsc_0153_sm.jpg,https://webpages.uidaho.edu/library/twrs/objects/thumbs/dsc_0153_th.jpg
twrs034,artifacts,DSC_0154.JPG,L.F. & C. US Army Knives ,,L.F. & C. US Army Knives ,1917,,US Army; Kitchenware,45.102402,-114.850242,,,DSC_0164,,,,,Image;StillImage,image/jpg,image,https://webpages.uidaho.edu/library/twrs/objects/DSC_0154.JPG,https://webpages.uidaho.edu/library/twrs/objects/small/dsc_0154_sm.jpg,https://webpages.uidaho.edu/library/twrs/objects/thumbs/dsc_0154_th.jpg
twrs035,artifacts,DSC_0155.JPG,L.F. & C. US Army Knives ,,L.F. & C. US Army Knives ,1917,,US Army; Kitchenware,45.102402,-114.850242,,,DSC_0165,,,,,Image;StillImage,image/jpg,image,https://webpages.uidaho.edu/library/twrs/objects/DSC_0155.JPG,https://webpages.uidaho.edu/library/twrs/objects/small/dsc_0155_sm.jpg,https://webpages.uidaho.edu/library/twrs/objects/thumbs/dsc_0155_th.jpg
twrs036,artifacts,DSC_0156.JPG,L.F. & C. US Army Knives ,,L.F. & C. US Army Knives ,1917,,US Army; Kitchenware,45.102402,-114.850242,,,DSC_0166,,,,,Image;StillImage,image/jpg,image,https://webpages.uidaho.edu/library/twrs/objects/DSC_0156.JPG,https://webpages.uidaho.edu/library/twrs/objects/small/dsc_0156_sm.jpg,https://webpages.uidaho.edu/library/twrs/objects/thumbs/dsc_0156_th.jpg
twrs037,artifacts,DSC_0157.JPG,L.F. & C. US Army Knives ,,L.F. & C. US Army Knives with initials of H.S.R.,1917,,US Army; Kitchenware,45.102402,-114.850242,,,DSC_0167,,,,,Image;StillImage,image/jpg,image,https://webpages.uidaho.edu/library/twrs/objects/DSC_0157.JPG,https://webpages.uidaho.edu/library/twrs/objects/small/dsc_0157_sm.jpg,https://webpages.uidaho.edu/library/twrs/objects/thumbs/dsc_0157_th.jpg
twrs038,artifacts,DSC_0158.JPG,L.F. & C. US Army Knives ,,L.F. & C. US Army Knives ,1917,,US Army; Kitchenware,45.102402,-114.850242,,,DSC_0168,,,,,Image;StillImage,image/jpg,image,https://webpages.uidaho.edu/library/twrs/objects/DSC_0158.JPG,https://webpages.uidaho.edu/library/twrs/objects/small/dsc_0158_sm.jpg,https://webpages.uidaho.edu/library/twrs/objects/thumbs/dsc_0158_th.jpg
twrs039,artifacts,DSC_0159.JPG,Vaughan's Can opener,,Vaughan's Can opener,,,Kitchenware,45.102402,-114.850242,,,DSC_0169,,,,,Image;StillImage,image/jpg,image,https://webpages.uidaho.edu/library/twrs/objects/DSC_0159.JPG,https://webpages.uidaho.edu/library/twrs/objects/small/dsc_0159_sm.jpg,https://webpages.uidaho.edu/library/twrs/objects/thumbs/dsc_0159_th.jpg
twrs040,artifacts,DSC_0160.JPG,Kitchen Utensils,,Kitchen Utensils,,,Kitchenware,45.102402,-114.850242,,,DSC_0160,,,,,Image;StillImage,image/jpg,image,https://webpages.uidaho.edu/library/twrs/objects/DSC_0160.JPG,https://webpages.uidaho.edu/library/twrs/objects/small/dsc_0160_sm.jpg,https://webpages.uidaho.edu/library/twrs/objects/thumbs/dsc_0160_th.jpg
twrs041,artifacts,DSC_0161.JPG,Utensil Box,,"This box for eating utensils, formerly a Remington Arms cartidge box, was reworked in the summer of 1927 while I (W.H. Bolles) was a ranger on the South Fork of the Salmon River district, using hinges and screws from an obsolete telephone. ",1927,,Kitchenware,45.102402,-114.850242,,,DSC_0161,,,,,Image;StillImage,image/jpg,image,https://webpages.uidaho.edu/library/twrs/objects/DSC_0161.JPG,https://webpages.uidaho.edu/library/twrs/objects/small/dsc_0161_sm.jpg,https://webpages.uidaho.edu/library/twrs/objects/thumbs/dsc_0161_th.jpg
twrs042,artifacts,DSC_0162.JPG,Stuffed Columbian Ground Squirrel,,Female Columbian Ground Squirrel ,,,Columbian Ground Squirrel; Taxidermy; Research,,,,,DSC_0162,,,,,Image;StillImage,image/jpg,image,https://webpages.uidaho.edu/library/twrs/objects/DSC_0162.JPG,https://webpages.uidaho.edu/library/twrs/objects/small/dsc_0162_sm.jpg,https://webpages.uidaho.edu/library/twrs/objects/thumbs/dsc_0162_th.jpg
twrs043,artifacts,DSC_0163.JPG,Stuffed Columbian Ground Squirrel,,Female Columbian Ground Squirrel ,,,Columbian Ground Squirrel; Taxidermy; Research,,,,,DSC_0163,,,,,Image;StillImage,image/jpg,image,https://webpages.uidaho.edu/library/twrs/objects/DSC_0163.JPG,https://webpages.uidaho.edu/library/twrs/objects/small/dsc_0163_sm.jpg,https://webpages.uidaho.edu/library/twrs/objects/thumbs/dsc_0163_th.jpg
twrs044,artifacts,DSC_0164.JPG,Stuffed Columbian Ground Squirrel,,Female Columbian Ground Squirrel ,,,Columbian Ground Squirrel; Taxidermy; Research,,,,,DSC_0164,,,,,Image;StillImage,image/jpg,image,https://webpages.uidaho.edu/library/twrs/objects/DSC_0164.JPG,https://webpages.uidaho.edu/library/twrs/objects/small/dsc_0164_sm.jpg,https://webpages.uidaho.edu/library/twrs/objects/thumbs/dsc_0164_th.jpg
twrs045,artifacts,DSC_0165.JPG,Stuffed Yellow-Pine Chipmunk,,Female Yellow-Pine Chipmunk collected by Deb Wilkins,1986-06-24,,Yellow-Pine Chipmunk; Deb Wilkins; Taxidermy; Research,,,,,DSC_0165,,,,,Image;StillImage,image/jpg,image,https://webpages.uidaho.edu/library/twrs/objects/DSC_0165.JPG,https://webpages.uidaho.edu/library/twrs/objects/small/dsc_0165_sm.jpg,https://webpages.uidaho.edu/library/twrs/objects/thumbs/dsc_0165_th.jpg
twrs046,artifacts,DSC_0166.JPG,Stuffed Yellow-Pine Chipmunk,,Female Yellow-Pine Chipmunk collected by Deb Wilkins,1986-06-24,,Yellow-Pine Chipmunk; Deb Wilkins; Taxidermy; Research,,,,,DSC_0166,,,,,Image;StillImage,image/jpg,image,https://webpages.uidaho.edu/library/twrs/objects/DSC_0166.JPG,https://webpages.uidaho.edu/library/twrs/objects/small/dsc_0166_sm.jpg,https://webpages.uidaho.edu/library/twrs/objects/thumbs/dsc_0166_th.jpg
twrs047,artifacts,DSC_0167.JPG,Stuffed Yellow-Pine Chipmunk,,Female Yellow-Pine Chipmunk collected by Deb Wilkins,1986-06-24,,Yellow-Pine Chipmunk; Deb Wilkins; Taxidermy; Research,,,,,DSC_0167,,,,,Image;StillImage,image/jpg,image,https://webpages.uidaho.edu/library/twrs/objects/DSC_0167.JPG,https://webpages.uidaho.edu/library/twrs/objects/small/dsc_0167_sm.jpg,https://webpages.uidaho.edu/library/twrs/objects/thumbs/dsc_0167_th.jpg
twrs048,artifacts,DSC_0168.JPG,Stuffed Long-tailed Vole,,Female Long-tailed Vole caught by a river birch out side of the cookhouse by Golda (Jim and Holly Akenson's dog). Collected by Deb Wilkins,1986-07-23,,Yellow-Pine Chipmunk; Deb Wilkins; Taxidermy; Research,,,,,DSC_0168,,,,,Image;StillImage,image/jpg,image,https://webpages.uidaho.edu/library/twrs/objects/DSC_0168.JPG,https://webpages.uidaho.edu/library/twrs/objects/small/dsc_0168_sm.jpg,https://webpages.uidaho.edu/library/twrs/objects/thumbs/dsc_0168_th.jpg
twrs049,artifacts,DSC_0169.JPG,Stuffed Long-tailed Vole,,Female Long-tailed Vole caught by a river birch out side of the cookhouse by Golda (Jim and Holly Akenson's dog). Collected by Deb Wilkins,1986-07-23,,Yellow-Pine Chipmunk; Deb Wilkins; Taxidermy; Research,,,,,DSC_0169,,,,,Image;StillImage,image/jpg,image,https://webpages.uidaho.edu/library/twrs/objects/DSC_0169.JPG,https://webpages.uidaho.edu/library/twrs/objects/small/dsc_0169_sm.jpg,https://webpages.uidaho.edu/library/twrs/objects/thumbs/dsc_0169_th.jpg
twrs050,artifacts,DSC_0170.JPG,Stuffed Little Brown Bat,,Little Brown Bat found dead at Taylor Ranch in the cabin near riparian meadow. Collected by Holly Akenson,1987-08-20,,Little Brown Bat; Holly Akenson; Taxidermy; Research,,,,,DSC_0170,,,,,Image;StillImage,image/jpg,image,https://webpages.uidaho.edu/library/twrs/objects/DSC_0170.JPG,https://webpages.uidaho.edu/library/twrs/objects/small/dsc_0170_sm.jpg,https://webpages.uidaho.edu/library/twrs/objects/thumbs/dsc_0170_th.jpg
twrs051,artifacts,DSC_0171.JPG,Stuffed Little Brown Bat,,Little Brown Bat found dead at Taylor Ranch in the cabin near riparian meadow. Collected by Holly Akenson,1987-08-20,,Little Brown Bat; Holly Akenson; Taxidermy; Research,,,,,DSC_0171,,,,,Image;StillImage,image/jpg,image,https://webpages.uidaho.edu/library/twrs/objects/DSC_0171.JPG,https://webpages.uidaho.edu/library/twrs/objects/small/dsc_0171_sm.jpg,https://webpages.uidaho.edu/library/twrs/objects/thumbs/dsc_0171_th.jpg
twrs052,artifacts,DSC_0172.JPG,Stuffed Little Brown Bat,,Little Brown Bat found dead at Taylor Ranch in the cabin near riparian meadow. Collected by Holly Akenson,1987-08-20,,Little Brown Bat; Holly Akenson; Taxidermy; Research,,,,,DSC_0172,,,,,Image;StillImage,image/jpg,image,https://webpages.uidaho.edu/library/twrs/objects/DSC_0172.JPG,https://webpages.uidaho.edu/library/twrs/objects/small/dsc_0172_sm.jpg,https://webpages.uidaho.edu/library/twrs/objects/thumbs/dsc_0172_th.jpg
twrs053,artifacts,DSC_0173.JPG,Stuffed Little Brown Bat,,Little Brown Bat found dead at Taylor Ranch in the cabin near riparian meadow. Collected by Holly Akenson,1987-08-20,,Little Brown Bat; Holly Akenson; Taxidermy; Research,,,,,DSC_0173,,,,,Image;StillImage,image/jpg,image,https://webpages.uidaho.edu/library/twrs/objects/DSC_0173.JPG,https://webpages.uidaho.edu/library/twrs/objects/small/dsc_0173_sm.jpg,https://webpages.uidaho.edu/library/twrs/objects/thumbs/dsc_0173_th.jpg
twrs054,artifacts,DSC_0174.JPG,Stuffed Little Brown Bat,,Little Brown Bat found dead at Taylor Ranch in the cabin near riparian meadow. Collected by Holly Akenson,1987-08-20,,Little Brown Bat; Holly Akenson; Taxidermy; Research,,,,,DSC_0174,,,,,Image;StillImage,image/jpg,image,https://webpages.uidaho.edu/library/twrs/objects/DSC_0174.JPG,https://webpages.uidaho.edu/library/twrs/objects/small/dsc_0174_sm.jpg,https://webpages.uidaho.edu/library/twrs/objects/thumbs/dsc_0174_th.jpg
